CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHO,BLOCK_GROU,CENSUS_TRA,VOTING_PRE,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECOR
10199597,2019-11-07T11:41:36.000Z,DAY,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF INDEPENDENCE AVENUE SE,401480.000000000000000,135528.000000000000000,6,6B,1,107,Cluster 26,006801 2,006801,Precinct 87,38.887591515181400,-76.982941241826100,,2019-11-07T10:36:52.000Z,2019-11-07T11:42:02.000Z,396368586,10199597-01
17084415,2019-01-28T00:00:00.000Z,MIDNIGHT,GUN,HOMICIDE,130 - 199 BLOCK OF IRVINGTON STREET SW,399099.000000000000000,128076.000000000000000,8,8D,7,708,Cluster 39,010900 2,010900,Precinct 126,38.820461485078600,-77.010375333295200,,2017-05-19T22:58:53.000Z,2017-05-20T02:26:45.000Z,396600751,17084415-01
19003820,2019-01-07T02:33:31.000Z,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,150 - 199 BLOCK OF V STREET NW,398778.000000000000000,138915.000000000000000,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,38.918103205427300,-77.014091027710600,,2019-01-07T00:12:00.000Z,,396648181,19003820-01
19003822,2019-01-07T05:48:30.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,2100 - 2131 BLOCK OF WEST VIRGINIA AVENUE NE,401755.000000000000000,138659.000000000000000,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.915796170052000,-76.979763540285100,,2019-01-07T01:14:46.000Z,2019-01-07T02:04:43.000Z,396648182,19003822-01
19003835,2019-01-07T05:04:57.000Z,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,200 - 255 BLOCK OF MALCOLM X AVENUE SE,399865.000000000000000,130809.000000000000000,8,8C,7,707,Cluster 39,010400 1,010400,Precinct 123,38.845082058942700,-77.001555108817300,,2019-01-07T01:15:34.000Z,2019-01-07T01:20:31.000Z,396648183,19003835-01
19003836,2019-01-07T04:22:36.000Z,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,600 - 799 BLOCK OF 24TH STREET NE,402399.000000000000000,136856.000000000000000,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.899552601033200,-76.972344038412600,,2019-01-07T03:23:06.000Z,,396648184,19003836-01
19003841,2019-01-07T05:46:48.000Z,MIDNIGHT,OTHERS,BURGLARY,1501 - 1548 BLOCK OF WISCONSIN AVENUE NW,394410.000000000000000,137962.000000000000000,2,2E,2,206,Cluster 4,000202 2,000202,Precinct 6,38.909501334591600,-77.064451187824700,GEORGETOWN,2019-01-07T04:40:40.000Z,2019-01-07T05:47:00.000Z,396648185,19003841-01
19003843,2019-01-07T07:18:05.000Z,DAY,OTHERS,BURGLARY,1700 - 1799 BLOCK OF N STREET NW,396522.000000000000000,137709.000000000000000,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.907233118465700,-77.040099121912100,,2019-01-07T00:30:54.000Z,2019-01-07T04:00:58.000Z,396648186,19003843-01
19003846,2019-01-07T06:10:57.000Z,MIDNIGHT,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 1ST STREET SE,399489.000000000000000,134459.000000000000000,6,6D,1,106,Cluster 27,007200 1,007200,Precinct 131,38.877962647935200,-77.005889087237000,CAPITOL RIVERFRONT,2019-01-04T17:00:15.000Z,2019-01-07T05:35:01.000Z,396648187,19003846-01
19003855,2019-01-07T09:44:05.000Z,DAY,OTHERS,THEFT F/AUTO,4200 - 4299 BLOCK OF MASSACHUSETTS AVENUE SE,405075.000000000000000,133571.000000000000000,7,7E,6,605,Cluster 34,009902 1,009902,Precinct 110,38.869948693879700,-76.941519053680900,,2019-01-07T07:23:26.000Z,2019-01-07T08:44:33.000Z,396648188,19003855-01
